top20_rank,rank,title,slug,category,domain_cluster,shortlist_bucket,complexity_level,effort_estimate,difficulty,icon,learning_goal_primary,learning_goals_secondary,learning_roi_score,build_risk_score,why_it_matters,jido_capabilities,external_dependencies,prerequisites,live_view_required,live_view_module,live_view_source_file,example_markdown_path,agent_module,proposed_source_files,critique_notes
11,22,PR Review Suggestion Agent,pr-review-suggestion-agent,:ai,ai_tool_use,AI + tool-use workflows,L1,2-4 hours,:beginner,ai,AI/tool-use integration,Action contracts and validation; LiveView interaction patterns,4,2,Connects LLM/tool loops to deterministic action execution patterns used in production.,Jido.AI ReActAgent; tool schemas; structured tool results,LLM_API_KEY (optional for local mock mode),training/agent-fundamentals; build/tool-use,true,AgentJidoWeb.Examples.PrReviewSuggestionAgentLive,lib/agent_jido_web/examples/pr_review_suggestion_agent_live.ex,priv/examples/pr-review-suggestion-agent.md,AgentJido.Demos.PrReviewSuggestionAgent,lib/agent_jido/demos/pr_review_suggestion/pr_review_suggestion_agent.ex; lib/agent_jido/demos/pr_review_suggestion/actions/execute_action.ex; lib/agent_jido/demos/pr_review_suggestion/actions/reset_action.ex; lib/agent_jido_web/examples/pr_review_suggestion_agent_live.ex,"Keep after critique: strong curriculum transfer, clear runnable scope, and acceptable maintenance risk for builder-ramp sequencing."
12,24,Telemetry SLO Budget Sentinel,telemetry-slo-budget-sentinel,:production,production_ops_governance,Production ops/governance,L1,2-4 hours,:beginner,production,Telemetry/observability,AgentServer runtime lifecycle; Security/governance/incident readiness,4,2,"Builds operational literacy around telemetry, latency, and failure signals before launch.",telemetry events; supervision policies; guardrail checks,none,training/agent-fundamentals; docs/production-readiness-checklist,true,AgentJidoWeb.Examples.TelemetrySloBudgetSentinelLive,lib/agent_jido_web/examples/telemetry_slo_budget_sentinel_live.ex,priv/examples/telemetry-slo-budget-sentinel.md,AgentJido.Demos.TelemetrySloBudgetSentinelAgent,lib/agent_jido/demos/telemetry_slo_budget_sentinel/telemetry_slo_budget_sentinel_agent.ex; lib/agent_jido/demos/telemetry_slo_budget_sentinel/actions/execute_action.ex; lib/agent_jido/demos/telemetry_slo_budget_sentinel/actions/reset_action.ex; lib/agent_jido_web/examples/telemetry_slo_budget_sentinel_live.ex,"Keep after critique: strong curriculum transfer, clear runnable scope, and acceptable maintenance risk for builder-ramp sequencing."
13,26,CSV Import Validator Agent,csv-import-validator-agent,:core,core_mechanics,Foundations: state/actions/schemas,L2,0.5-1 day,:beginner,core,Action contracts and validation,Agent state/schema fundamentals; Signals and routing,5,2,Builds action contract discipline that prevents invalid mutations and improves confidence.,Jido.Agent schema; Jido.Action validation; cmd/2 transitions,none,training/agent-fundamentals; training/actions-validation,true,AgentJidoWeb.Examples.CsvImportValidatorAgentLive,lib/agent_jido_web/examples/csv_import_validator_agent_live.ex,priv/examples/csv-import-validator-agent.md,AgentJido.Demos.CsvImportValidatorAgent,lib/agent_jido/demos/csv_import_validator/csv_import_validator_agent.ex; lib/agent_jido/demos/csv_import_validator/actions/execute_action.ex; lib/agent_jido/demos/csv_import_validator/actions/reset_action.ex; lib/agent_jido_web/examples/csv_import_validator_agent_live.ex,"Keep after critique: strong curriculum transfer, clear runnable scope, and acceptable maintenance risk for builder-ramp sequencing."
14,27,Catalog Variant Consistency Agent,catalog-variant-consistency-agent,:core,core_mechanics,Foundations: state/actions/schemas,L2,0.5-1 day,:beginner,core,Action contracts and validation,Agent state/schema fundamentals; Signals and routing,5,2,Builds action contract discipline that prevents invalid mutations and improves confidence.,Jido.Agent schema; Jido.Action validation; cmd/2 transitions,none,training/agent-fundamentals; training/actions-validation,true,AgentJidoWeb.Examples.CatalogVariantConsistencyAgentLive,lib/agent_jido_web/examples/catalog_variant_consistency_agent_live.ex,priv/examples/catalog-variant-consistency-agent.md,AgentJido.Demos.CatalogVariantConsistencyAgent,lib/agent_jido/demos/catalog_variant_consistency/catalog_variant_consistency_agent.ex; lib/agent_jido/demos/catalog_variant_consistency/actions/execute_action.ex; lib/agent_jido/demos/catalog_variant_consistency/actions/reset_action.ex; lib/agent_jido_web/examples/catalog_variant_consistency_agent_live.ex,"Keep after critique: strong curriculum transfer, clear runnable scope, and acceptable maintenance risk for builder-ramp sequencing."
15,28,Changelog Entry Linter Agent,changelog-entry-linter-agent,:core,core_mechanics,Foundations: state/actions/schemas,L2,0.5-1 day,:beginner,core,Action contracts and validation,Agent state/schema fundamentals; Signals and routing,5,2,Builds action contract discipline that prevents invalid mutations and improves confidence.,Jido.Agent schema; Jido.Action validation; cmd/2 transitions,none,training/agent-fundamentals; training/actions-validation,true,AgentJidoWeb.Examples.ChangelogEntryLinterAgentLive,lib/agent_jido_web/examples/changelog_entry_linter_agent_live.ex,priv/examples/changelog-entry-linter-agent.md,AgentJido.Demos.ChangelogEntryLinterAgent,lib/agent_jido/demos/changelog_entry_linter/changelog_entry_linter_agent.ex; lib/agent_jido/demos/changelog_entry_linter/actions/execute_action.ex; lib/agent_jido/demos/changelog_entry_linter/actions/reset_action.ex; lib/agent_jido_web/examples/changelog_entry_linter_agent_live.ex,"Keep after critique: strong curriculum transfer, clear runnable scope, and acceptable maintenance risk for builder-ramp sequencing."
16,30,Dependency License Classifier Agent,dependency-license-classifier-agent,:core,core_mechanics,Foundations: state/actions/schemas,L2,0.5-1 day,:beginner,core,Agent state/schema fundamentals,Action contracts and validation; AgentServer runtime lifecycle,5,2,Teaches schema-first agent modeling so learners reason about state before side effects.,Jido.Agent schema; Jido.Action validation; cmd/2 transitions,none,training/agent-fundamentals; training/actions-validation,true,AgentJidoWeb.Examples.DependencyLicenseClassifierAgentLive,lib/agent_jido_web/examples/dependency_license_classifier_agent_live.ex,priv/examples/dependency-license-classifier-agent.md,AgentJido.Demos.DependencyLicenseClassifierAgent,lib/agent_jido/demos/dependency_license_classifier/dependency_license_classifier_agent.ex; lib/agent_jido/demos/dependency_license_classifier/actions/execute_action.ex; lib/agent_jido/demos/dependency_license_classifier/actions/reset_action.ex; lib/agent_jido_web/examples/dependency_license_classifier_agent_live.ex,"Keep after critique: strong curriculum transfer, clear runnable scope, and acceptable maintenance risk for builder-ramp sequencing."
17,36,Incident Timeline Narrator Agent,incident-timeline-narrator-agent,:ai,ai_tool_use,AI + tool-use workflows,L2,0.5-1 day,:beginner,ai,Telemetry/observability,AgentServer runtime lifecycle; Security/governance/incident readiness,5,3,"Builds operational literacy around telemetry, latency, and failure signals before launch.",Jido.AI ReActAgent; tool schemas; structured tool results,LLM_API_KEY (optional for local mock mode),training/agent-fundamentals; training/actions-validation; build/tool-use,true,AgentJidoWeb.Examples.IncidentTimelineNarratorAgentLive,lib/agent_jido_web/examples/incident_timeline_narrator_agent_live.ex,priv/examples/incident-timeline-narrator-agent.md,AgentJido.Demos.IncidentTimelineNarratorAgent,lib/agent_jido/demos/incident_timeline_narrator/incident_timeline_narrator_agent.ex; lib/agent_jido/demos/incident_timeline_narrator/actions/execute_action.ex; lib/agent_jido/demos/incident_timeline_narrator/actions/reset_action.ex; lib/agent_jido_web/examples/incident_timeline_narrator_agent_live.ex,"Keep after critique: strong curriculum transfer, clear runnable scope, and acceptable maintenance risk for builder-ramp sequencing."
18,37,Release Notes Drafting Agent,release-notes-drafting-agent,:ai,ai_tool_use,AI + tool-use workflows,L2,0.5-1 day,:beginner,ai,Telemetry/observability,AgentServer runtime lifecycle; Security/governance/incident readiness,5,3,"Builds operational literacy around telemetry, latency, and failure signals before launch.",Jido.AI ReActAgent; tool schemas; structured tool results,LLM_API_KEY (optional for local mock mode),training/agent-fundamentals; training/actions-validation; build/tool-use,true,AgentJidoWeb.Examples.ReleaseNotesDraftingAgentLive,lib/agent_jido_web/examples/release_notes_drafting_agent_live.ex,priv/examples/release-notes-drafting-agent.md,AgentJido.Demos.ReleaseNotesDraftingAgent,lib/agent_jido/demos/release_notes_drafting/release_notes_drafting_agent.ex; lib/agent_jido/demos/release_notes_drafting/actions/execute_action.ex; lib/agent_jido/demos/release_notes_drafting/actions/reset_action.ex; lib/agent_jido_web/examples/release_notes_drafting_agent_live.ex,"Keep after critique: strong curriculum transfer, clear runnable scope, and acceptable maintenance risk for builder-ramp sequencing."
19,38,Async Payment Retry Orchestrator,async-payment-retry-orchestrator,:core,coordination_directives_time,Signals/directives/coordination,L2,0.5-1 day,:beginner,core,Signals and routing,Directives (emit/schedule); Multi-agent orchestration,4,2,Shows how explicit signal contracts reduce coupling across workflows and teams.,signal_routes/1; Directive.emit; Directive.schedule; cross-agent handoff,none,training/agent-fundamentals; training/actions-validation,true,AgentJidoWeb.Examples.AsyncPaymentRetryOrchestratorLive,lib/agent_jido_web/examples/async_payment_retry_orchestrator_live.ex,priv/examples/async-payment-retry-orchestrator.md,AgentJido.Demos.AsyncPaymentRetryOrchestratorAgent,lib/agent_jido/demos/async_payment_retry_orchestrator/async_payment_retry_orchestrator_agent.ex; lib/agent_jido/demos/async_payment_retry_orchestrator/actions/execute_action.ex; lib/agent_jido/demos/async_payment_retry_orchestrator/actions/reset_action.ex; lib/agent_jido_web/examples/async_payment_retry_orchestrator_live.ex,"Keep after critique: strong curriculum transfer, clear runnable scope, and acceptable maintenance risk for builder-ramp sequencing."
20,41,Dead Letter Reprocessor Workflow,dead-letter-reprocessor-workflow,:core,coordination_directives_time,Signals/directives/coordination,L2,0.5-1 day,:beginner,core,Signals and routing,Directives (emit/schedule); Multi-agent orchestration,4,2,Shows how explicit signal contracts reduce coupling across workflows and teams.,signal_routes/1; Directive.emit; Directive.schedule; cross-agent handoff,none,training/agent-fundamentals; training/actions-validation,true,AgentJidoWeb.Examples.DeadLetterReprocessorWorkflowLive,lib/agent_jido_web/examples/dead_letter_reprocessor_workflow_live.ex,priv/examples/dead-letter-reprocessor-workflow.md,AgentJido.Demos.DeadLetterReprocessorWorkflowAgent,lib/agent_jido/demos/dead_letter_reprocessor_workflow/dead_letter_reprocessor_workflow_agent.ex; lib/agent_jido/demos/dead_letter_reprocessor_workflow/actions/execute_action.ex; lib/agent_jido/demos/dead_letter_reprocessor_workflow/actions/reset_action.ex; lib/agent_jido_web/examples/dead_letter_reprocessor_workflow_live.ex,"Keep after critique: strong curriculum transfer, clear runnable scope, and acceptable maintenance risk for builder-ramp sequencing."
